2025/12/14 11:05:30 No .env file found, using system environment variables
2025/12/14 11:05:30 Server starting on port 8080
[GIN] 2025/12/14 - 11:05:35 | 200 |  175.372533ms |             ::1 | GET      "/api/music/search/song?q=eminem&limit=10"
[GIN] 2025/12/14 - 11:05:52 | 304 |     244.071µs |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:05:52 | 304 |     685.999µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:05:52 | 404 |         930ns |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:05:52 | 404 |       1.581µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:05:53 | 200 |   993.74294ms |             ::1 | GET      "/api/music/search/song?q=Retrowave&limit=48"
[GIN] 2025/12/14 - 11:05:53 | 200 |  122.367431ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Retrowave&limit=48"
[GIN] 2025/12/14 - 11:05:57 | 200 |  927.805647ms |             ::1 | GET      "/api/music/search/song?q=Spa&limit=48"
[GIN] 2025/12/14 - 11:05:57 | 200 |   84.794628ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Spa&limit=48"
[GIN] 2025/12/14 - 11:06:00 | 200 |  1.091321776s |             ::1 | GET      "/api/music/search/song?q=Art%20Pop&limit=48"
[GIN] 2025/12/14 - 11:06:00 | 200 |   83.772479ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Art%20Pop&limit=48"
[GIN] 2025/12/14 - 11:06:06 | 200 |   87.993205ms |             ::1 | GET      "/api/music/search/song?q=eminem&limit=10"
[GIN] 2025/12/14 - 11:08:20 | 200 |  162.507983ms |             ::1 | GET      "/api/youtubeapi/search/song?q=eminem&limit=5"
[GIN] 2025/12/14 - 11:11:37 | 304 |      438.82µs |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:11:37 | 304 |     144.204µs |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:11:37 | 304 |     116.776µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:11:37 | 404 |        2.97µs |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:11:37 | 304 |     239.798µs |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:11:37 | 404 |      16.303µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:11:38 | 200 |  1.030616975s |             ::1 | GET      "/api/music/search/song?q=Festival&limit=48"
[GIN] 2025/12/14 - 11:11:38 | 200 |   95.423064ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Festival&limit=48"
[GIN] 2025/12/14 - 11:11:40 | 304 |     200.106µs |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:11:40 | 304 |     102.867µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:11:40 | 404 |        3.51µs |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:11:40 | 404 |      36.755µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:11:43 | 200 |  3.128939122s |             ::1 | GET      "/api/music/search/song?q=%E5%AD%99%E7%87%95%E5%A7%BF&limit=48"
[GIN] 2025/12/14 - 11:15:56 | 304 |     246.165µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:15:56 | 404 |       4.168µs |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:15:56 | 404 |        7.19µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:15:57 | 200 |   1.05834095s |             ::1 | GET      "/api/music/search/song?q=African&limit=48"
[GIN] 2025/12/14 - 11:15:57 | 200 |   87.362513ms |             ::1 | GET      "/api/youtubeapi/search/song?q=African&limit=48"
[GIN] 2025/12/14 - 11:16:02 | 200 |  985.271642ms |             ::1 | GET      "/api/music/search/song?q=Travel&limit=48"
[GIN] 2025/12/14 - 11:16:02 | 200 |  107.176787ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Travel&limit=48"
[GIN] 2025/12/14 - 11:16:08 | 404 |        1.76µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/12/14 - 11:16:11 | 200 |  113.179035ms |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:16:11 | 404 |       1.875µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/12/14 - 11:16:12 | 200 |     752.109µs |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:16:12 | 200 |    1.302072ms |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:16:12 | 404 |       1.536µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:16:12 | 304 |     116.146µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:16:12 | 404 |         1.6µs |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:16:12 | 200 |      123.14µs |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:16:12 | 200 |     959.105µs |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:16:16 | 200 |  4.100578867s |             ::1 | GET      "/api/music/search/song?q=Upbeat&limit=48"
[GIN] 2025/12/14 - 11:16:16 | 200 |   86.973529ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Upbeat&limit=48"
[GIN] 2025/12/14 - 11:19:15 | 200 |   69.622121ms |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:19:15 | 200 |    2.791312ms |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:19:16 | 404 |       1.541µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/12/14 - 11:19:17 | 304 |     330.342µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:19:17 | 200 |      671.16µs |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:19:17 | 404 |       2.295µs |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:19:17 | 200 |   10.604371ms |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:19:17 | 200 |     121.063µs |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:19:17 | 404 |        1.88µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:19:18 | 200 |  983.500121ms |             ::1 | GET      "/api/music/search/song?q=Tame%20Impala&limit=48"
[GIN] 2025/12/14 - 11:19:18 | 200 |  106.509722ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Tame%20Impala&limit=48"
[GIN] 2025/12/14 - 11:19:22 | 200 |     7.97272ms |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:19:22 | 200 |     322.806µs |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:19:22 | 404 |        3.16µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/12/14 - 11:19:23 | 304 |     309.958µs |             ::1 | GET      "/sw.js"
[GIN] 2025/12/14 - 11:19:23 | 404 |       2.571µs |             ::1 | GET      "/index.html"
[GIN] 2025/12/14 - 11:19:23 | 200 |     111.323µs |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:19:23 | 200 |     263.813µs |             ::1 | GET      "/YouTubePlayerManager.js"
[GIN] 2025/12/14 - 11:19:23 | 200 |     347.781µs |             ::1 | GET      "/manifest.json"
[GIN] 2025/12/14 - 11:19:23 | 404 |        1.49µs |             ::1 | GET      "/icon/icon-192x192.png"
[GIN] 2025/12/14 - 11:19:24 | 200 |  949.158749ms |             ::1 | GET      "/api/music/search/song?q=Joe%20Hisaishi&limit=48"
[GIN] 2025/12/14 - 11:19:24 | 200 |   83.341111ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Joe%20Hisaishi&limit=48"
[GIN] 2025/12/14 - 11:19:26 | 200 |  886.180329ms |             ::1 | GET      "/api/music/search/song?q=Studio&limit=48"
[GIN] 2025/12/14 - 11:19:26 | 200 |  101.090916ms |             ::1 | GET      "/api/youtubeapi/search/song?q=Studio&limit=48"
[GIN] 2025/12/14 - 11:19:28 | 200 |  722.492197ms |             ::1 | GET      "/api/music/search/song?q=YOASOBI&limit=48"
[GIN] 2025/12/14 - 11:19:28 | 200 |  123.121482ms |             ::1 | GET      "/api/youtubeapi/search/song?q=YOASOBI&limit=48"
[GIN] 2025/12/14 - 11:21:58 | 404 |       1.543µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/12/14 - 11:21:58 | 200 |  155.777605ms |             ::1 | GET      "/"
[GIN] 2025/12/14 - 11:21:58 | 200 |     501.357µs |             ::1 | GET      "/YouTubePlayerManager.js"
